"No.","Time","Source","Destination","Protocol","Length","Info"
"183","3.802160","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0xf0f3 AAAA applet-bundles.grammarly.net"
"184","3.802615","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x07c5 A applet-bundles.grammarly.net"
"185","3.804964","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0xf0f3 AAAA applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"186","3.804964","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","172","Standard query response 0x07c5 A applet-bundles.grammarly.net A 18.161.229.87 A 18.161.229.112 A 18.161.229.44 A 18.161.229.94"
"489","11.425267","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0xfbed AAAA applet-bundles.grammarly.net"
"490","11.425670","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0xc5a2 A applet-bundles.grammarly.net"
"491","11.426049","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x01b0 HTTPS applet-bundles.grammarly.net"
"492","11.428657","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0xfbed AAAA applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"493","11.428657","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","172","Standard query response 0xc5a2 A applet-bundles.grammarly.net A 18.161.229.87 A 18.161.229.112 A 18.161.229.44 A 18.161.229.94"
"494","11.428657","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0x01b0 HTTPS applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"495","11.431718","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x5188 AAAA applet-bundles.grammarly.net"
"496","11.432269","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0xb383 A applet-bundles.grammarly.net"
"497","11.433932","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0x5188 AAAA applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"498","11.433932","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","172","Standard query response 0xb383 A applet-bundles.grammarly.net A 18.161.229.87 A 18.161.229.112 A 18.161.229.44 A 18.161.229.94"
"1490","16.187642","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x21e3 AAAA applet-bundles.grammarly.net"
"1491","16.187894","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","108","Standard query 0x4b69 A applet-bundles.grammarly.net"
"1492","16.189343","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","193","Standard query response 0x21e3 AAAA applet-bundles.grammarly.net SOA ns-1253.awsdns-28.org"
"1493","16.189693","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","172","Standard query response 0x4b69 A applet-bundles.grammarly.net A 18.161.229.44 A 18.161.229.94 A 18.161.229.87 A 18.161.229.112"
"2855","42.537354","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0xf789 AAAA teams.events.data.microsoft.com"
"2856","42.537542","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0x2ad7 A teams.events.data.microsoft.com"
"2857","42.537775","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","111","Standard query 0xae5d HTTPS teams.events.data.microsoft.com"
"2858","42.541112","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","275","Standard query response 0xf789 AAAA teams.events.data.microsoft.com CNAME teams-events-data.trafficmanager.net CNAME onedscolprdeus02.eastus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"2859","42.542144","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","230","Standard query response 0x2ad7 A teams.events.data.microsoft.com CNAME teams-events-data.trafficmanager.net CNAME onedscolprdeus02.eastus.cloudapp.azure.com A 20.42.65.84"
"2860","42.542189","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","275","Standard query response 0xae5d HTTPS teams.events.data.microsoft.com CNAME teams-events-data.trafficmanager.net CNAME onedscolprdeus02.eastus.cloudapp.azure.com SOA ns1-201.azure-dns.com"
"3999","74.869445","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","116","Standard query 0xbed9 A win-extension.femetrics.grammarly.io"
"4000","74.869778","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","116","Standard query 0xbbb9 AAAA win-extension.femetrics.grammarly.io"
"4002","74.872350","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","244","Standard query response 0xbed9 A win-extension.femetrics.grammarly.io A 52.3.198.14 A 3.210.157.84 A 52.20.107.213 A 44.205.114.80 A 54.83.202.250 A 18.232.210.255 A 3.223.23.200 A 34.237.86.124"
"4003","74.872350","2406:7400:48:10::2","2406:7400:ff03:205c:d7a:2da7:512d:259b","DNS","203","Standard query response 0xbbb9 AAAA win-extension.femetrics.grammarly.io SOA ns-1688.awsdns-19.co.uk"
"4216","81.173766","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","96","Standard query 0x6bb0 A in.grammarly.com"
"4217","81.174125","2406:7400:ff03:205c:d7a:2da7:512d:259b","2406:7400:48:10::2","DNS","96","Standard query 0xb3b2 AAAA in.grammarly.com"
